,R1: Excitement,R1: Overall,R1 Average Score,SWE R2 I1: Deliverable,SWE R2 I1: Technical Communication,SWE R2 I1: Learning Ability,SWE R2 I1: Teamwork & Communication,SWE R2 I1: Overall,SWE R2 I2: Deliverable,SWE R2 I2: Technical Communication,SWE R2 I2: Learning Ability,SWE R2 I2: Teamwork & Communication,SWE R2 I2: Overall,SWE R2 Average Score,SWE Performance Score,SWE R2 Status,Accepted?,Duration (Semesters),Current Member?
34,5,5,100,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,86,91,3,1,1,False
35,5,5,100,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,98,99,3,1,2,True
36,3,3,60,4.5,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,82,75,3,1,2,True
37,4,4,80,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,96,91,3,1,2,True
38,4,4,80,4.5,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,82,81,3,1,3,True
39,5,4,90,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,82,85,3,1,2,True
40,0,0,0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,5.0,5.0,4.0,76,76,3,1,3,True
41,4,5,90,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100,97,3,1,2,True
42,0,0,0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,76,76,3,1,3,True
43,0,0,0,3.0,3.0,4.0,4.0,4.0,3.5,4.0,3.0,4.0,4.0,72,72,3,1,2,False
44,5,5,100,4.5,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,94,96,3,1,2,True
45,5,4,90,4.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,80,83,2,0,0,False
46,4,4,80,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,76,77,2,0,0,False
47,5,5,100,2.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,76,84,2,0,0,False
48,4,5,90,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,84,86,2,0,0,False
49,3,4,70,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,72,71,2,0,0,False
50,4,4,80,5.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,84,83,2,0,0,False
51,4,4,80,3.5,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,76,77,2,0,0,False
52,4,4,80,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,76,77,1,0,0,False
53,4,4,80,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,68,72,1,0,0,False
54,5,5,100,2.0,5.0,3.0,5.0,4.0,2.0,3.0,4.0,5.0,3.0,72,81,1,0,0,False
55,4,4,80,4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,78,79,0,0,0,False
56,4,5,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,43,0,0,0,False
57,5,5,100,2.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,70,80,0,0,0,False
58,5,5,100,2.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,62,75,0,0,0,False
59,4,4,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,40,0,0,0,False
60,5,5,100,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,70,80,0,0,0,False
61,0,0,0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,52,52,0,0,0,False
62,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,0,False
63,5,4,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,43,0,0,0,False
